question,answer_text,answer_start,is_impossible,id,processed_question,processed_answer_text
"What is the amino acid similarity between IFITM 1, IFITM 2, and IFITM 3?",~ 85% similarity,6742.0,False,577.0,amino acid similarity ifitm 1 ifitm 2 ifitm 3,85 similarity
What amino acid might be involved in calcium binding in the C-terminal region of a protein?,aspartate,6817.0,False,580.0,amino acid might involved calcium binding c terminal region protein,aspartate
What is the size of bovine coronavirus?,31 kb,840.0,False,917.0,size bovine coronavirus,31 kb
What is the molecular structure of bovine coronavirus?,"single-stranded, linear, and nonsegmented RNA",784.0,False,918.0,molecular structure bovine coronavirus,single stranded linear nonsegmented rna
How many nucleotides does bovine coronavirus contain?,"30,847 nucleotides",1873.0,False,919.0,many nucleotides bovine coronavirus contain,30 847 nucleotides
What is the size of the orf1ab gene in bovine coronavirus?,20kb,2034.0,False,920.0,size orf1ab gene bovine coronavirus,20kb
Is the orf1ab gene at the 3' or 5' end of the bovine coronavirus genome?,5= side,2067.0,False,921.0,orf1ab gene 3 5 end bovine coronavirus genome,5 side
What is a significant cause of Influenze like illness among healthy adolescents and adults presenting for medical evaluation?,HCoV,5069.0,False,1658.0,significant cause influenze like illness among healthy adolescents adults presenting medical evaluation,hcov
"What is the most common species of Human Coronavirus among adults?
",HCoV-OC43,3997.0,False,1659.0,common species human coronavirus among adults,hcov oc43
Which Human Coronavirus showed species specific clinical characteristics of its infection?,HCoV‐HKU1,956.0,False,1660.0,human coronavirus showed species specific clinical characteristics infection,hcov hku1
What causes the outbreak of SARS and MERS.,Highly virulent species of HCoV,1276.0,False,1717.0,causes outbreak sars mers,highly virulent species hcov
What is the case fatality rate of SARS and MERS?,ranged from 14% to 45%,1448.0,False,1718.0,case fatality rate sars mers,ranged 14 45
What were the common HCOV strains in the 5 year USA study?, HCoV-OC43 and HCoV-229E,4100.0,False,1719.0,common hcov strains 5 year usa study,hcov oc43 hcov 229e
Which species are more prevalent but less severe?,"HCoV-HKU1, HCoV-OC43, HCoV-NL63, and HCoV-229E",1517.0,False,1720.0,species prevalent less severe,hcov hku1 hcov oc43 hcov nl63 hcov 229e
What is required for a Hepatitis B infection in cells?,both intracellular and cell-surface factors,1158.0,False,2996.0,required hepatitis b infection cells,intracellular cell surface factors
"What regulates the broad, but less specific, virus-cell interaction in a hepatitis B infection?",heparan sulfates in the membrane proteins,1727.0,False,2997.0,regulates broad less specific virus cell interaction hepatitis b infection,heparan sulfates membrane proteins
Which protein domain of the Hepatitis B envelope is necessary for infection?,Nterminus of HBV preS1 (amino acids 1-47) ,2168.0,False,2998.0,protein domain hepatitis b envelope necessary infection,nterminus hbv pres1 amino acids 1 47
Where is NTCP located in the body?,lateral surface (canalicular) of hepatocytes,4322.0,False,2999.0,ntcp located body,lateral surface canalicular hepatocytes
What does the NTCP protein mediate?,bile acid transport ,4383.0,False,3000.0,ntcp protein mediate,bile acid transport
Is NTCP sufficient to allow HBV infection?,not sufficient,5012.0,False,3001.0,ntcp sufficient allow hbv infection,sufficient
Why is NTCP thought to not be sufficient for HBV infection?,the majority of HepaRG cells were found to express NPCT but not to be infected,5054.0,False,3002.0,ntcp thought sufficient hbv infection,majority heparg cells found express npct infected
"What kinds of viruses are Japanese encephalitis virus(JEV), tick-borne encephalitis virus(TBEV), eastern equine encephalitis virus (EEEV), sindbis virus(SV), and dengue virus(DV)?",arboviruses,1906.0,False,3003.0,kinds viruses japanese encephalitis virus jev tick borne encephalitis virus tbev eastern equine encephalitis virus eeev sindbis virus sv dengue virus dv,arboviruses
What are the current clinically-available methods to detect encephalitis viral antigens?,ELISA and IFA,2177.0,False,3004.0,current clinically available methods detect encephalitis viral antigens,elisa ifa
"What methods exist for detecting multiple antigens simultaneously in a one-sample, laboratory test?","two-dimensional gel electrophoresis , protein chip, mass spectrometry, and suspension array technology",2474.0,False,3005.0,methods exist detecting multiple antigens simultaneously one sample laboratory test,two dimensional gel electrophoresis protein chip mass spectrometry suspension array technology
How many antigens could be detected by Liew's multiplex ELISA test?,9,2923.0,False,3006.0,many antigens could detected liew multiplex elisa test,9
What kind of antibodies were used in the ELISA-array assay?,monoclonal,3480.0,False,3007.0,kind antibodies used elisa array assay,monoclonal
How was the ELISA assay validated?,using cultured viruses and inoculated chicken eggs with patient sera,3618.0,False,3008.0,elisa assay validated,using cultured viruses inoculated chicken eggs patient sera
What capture antibodies were used in the study?,"4D5, 2B5, 1F1, 2B8, 4F9, and 4E11",4365.0,False,3009.0,capture antibodies used study,4d5 2b5 1f1 2b8 4f9 4e11
What was the spotting concentration range for the capture antibodies?,from 0.2 to 0.0125 mg/ml,9091.0,False,3010.0,spotting concentration range capture antibodies,0 2 0 0125 mg ml
How was the proper spotting concentration determined?,combination of minimized cross reaction and higher signal intensity,9317.0,False,3011.0,proper spotting concentration determined,combination minimized cross reaction higher signal intensity
How was cross reaction detection determined?,"by applying JEV, YF, and DV cultures",9606.0,False,3012.0,cross reaction detection determined,applying jev yf dv cultures
How was the ELISA-array assay validated?,using cultured viruses and inoculated chicken eggs with patient sera,3618.0,False,3013.0,elisa array assay validated,using cultured viruses inoculated chicken eggs patient sera
"In 2010, how many cases of tuberculosis were estimated in China?","108 per 100,000",1869.0,False,3014.0,2010 many cases tuberculosis estimated china,108 per 100 000
What is the population of Shandong province?,94 million,2484.0,False,3015.0,population shandong province,94 million
What was the purpose of this study?,estimate the TB prevalence in Shandong,2837.0,False,3016.0,purpose study,estimate tb prevalence shandong
What was the age range for the people surveyed?,15 years old or above,3026.0,False,3017.0,age range people surveyed,15 years old
How was the survey designed?,in accordance with WHO recommendations,3393.0,False,3018.0,survey designed,accordance recommendations
Was was the sample size?,52500,3532.0,False,3019.0,sample size,52500
How were the clusters selected?,A stratified multi stage random sampling,3841.0,False,3020.0,clusters selected,stratified multi stage random sampling
How many people were in a community cluster?,1250 to 1750,4236.0,False,3021.0,many people community cluster,1250 1750
Who was excluded from the study?,Military barracks and prisons,4627.0,False,3022.0,excluded study,military barracks prisons
When was the study conducted?,March to June 2010,4731.0,False,3023.0,study conducted,march june 2010
Who conducted the study?,"clinicians, public health doctors, radiologists, laboratory technicians and nurses",4780.0,False,3024.0,conducted study,clinicians public health doctors radiologists laboratory technicians nurses
What medium was used to collect the sputum samples?,Löwenstein-Jensen medium,6549.0,False,3025.0,medium used collect sputum samples,löwenstein jensen medium
What was the response rate for the study?,95% to 97%,9615.0,False,3026.0,response rate study,95 97
What was the average age of a study participant?,46 years,9776.0,False,3027.0,average age study participant,46 years
What was the prevalence rate in Shandong in 2010 for sputum positive cases of tuberculosis?,22.1,12601.0,False,3028.0,prevalence rate shandong 2010 sputum positive cases tuberculosis,22 1
What was the most striking finding of the study regarding tuberculosis patients?,a large proportion of TB patients did not present consistent cough,14313.0,False,3029.0,striking finding study regarding tuberculosis patients,large proportion tb patients present consistent cough
How many cases of sputum positive tuberculosis patients had no persistent cough?,45%,14655.0,False,3030.0,many cases sputum positive tuberculosis patients persistent cough,45
How many tuberculosis patients in Shandong were over 65 years old?,over half,18779.0,False,3031.0,many tuberculosis patients shandong 65 years old,half
What enzymes have been reported to be linked with severity of infection and various pathological conditions caused by microorganisms?,cysteine proteases,2276.0,False,3041.0,enzymes reported linked severity infection various pathological conditions caused microorganisms,cysteine proteases
At what temperatures was the assay completed?,"32uC, 37uC, 42uC",9753.0,False,3042.0,temperatures assay completed,32uc 37uc 42uc
What criteria sets the guideline for drug-like properties?,Lipinski's ''Rule of five'',6881.0,False,3043.0,criteria sets guideline drug like properties,lipinski rule five
What could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant microorganisms?,"1-substituted pyridylimidazo[1,5-a]pyridine derivatives",22962.0,False,3044.0,could novel candidates potent inhibitors papain like cysteine proteases resistant microorganisms,1 substituted pyridylimidazo 1 5 pyridine derivatives
What method is useful in administering small molecules for systemic delivery to the body?,Intranasal,3238.0,False,1612.0,method useful administering small molecules systemic delivery body,intranasal
Why is the nasal mucosa useful in the delivery of small molecules into the body?,the surface area can result in rapid absorption of the medication into the blood,3446.0,False,1615.0,nasal mucosa useful delivery small molecules body,surface area result rapid absorption medication blood
What are the most common methods of inhaled delivery of medications?,Metered dose inhalers (MDIs) and dry powder inhalers (DPIs),4624.0,False,1616.0,common methods inhaled delivery medications,metered dose inhalers mdis dry powder inhalers dpis
What medications have shown good promise to in vivo delivery via dry powder inhalers?,insulin [39] and low-molecular-weight heparin [40],5473.0,False,1617.0,medications shown good promise vivo delivery via dry powder inhalers,insulin 39 low molecular weight heparin 40
How are siRNAs typically delivered for systemic effect?,intratracheal or intranasal delivery,5840.0,False,1618.0,sirnas typically delivered systemic effect,intratracheal intranasal delivery
What structures form the human airway?,"respiratory bronchioles, alveolar ducts, and alveolar sacs",6995.0,False,1619.0,structures form human airway,respiratory bronchioles alveolar ducts alveolar sacs
What size of particle has been shown to be most effective in the delivery to the lower airway?,1-5 μm,7557.0,False,1620.0,size particle shown effective delivery lower airway,1 5 μm
What are the essential conditions in siRNA delivery to effectively produce gene silencing in the lungs?,"delivered to their site of action, be stable, enter the target cells, and be present in the cytoplasm at sufficient concentration",10025.0,False,1621.0,essential conditions sirna delivery effectively produce gene silencing lungs,delivered site action stable enter target cells present cytoplasm sufficient concentration
How long is the SAIBK gene?,"27,534 nucleotides",1847.0,False,1622.0,long saibk gene,27 534 nucleotides
How many open reading frames are in the SAIBK gene?,10,1958.0,False,1623.0,many open reading frames saibk gene,10
What virus has the closest genetic identity with the SAIBK gene?,Chinese IBV strain SC021202,2061.0,False,1624.0,virus closest genetic identity saibk gene,chinese ibv strain sc021202
How many surgical masks or respirators have past studies projected will be required for a pandemic in the United States?,an estimated 7.3 billion,6383.0,False,257.0,many surgical masks respirators past studies projected required pandemic united states,estimated 7 3 billion
What is the acronym MERS-CoV?,Middle East respiratory syndrome coronavirus,722.0,False,248.0,acronym mers cov,middle east respiratory syndrome coronavirus
What are the critical factors that determine the effect of an epidemic?,Transmissibility and severity,474.0,False,249.0,critical factors determine effect epidemic,transmissibility severity
When did the World Health Organization (WHO) officially declare the 2019-nCoV epidemic as a Public Health Emergency of International Concern?,"January 30, 2020",7759.0,False,250.0,world health organization officially declare 2019 ncov epidemic public health emergency international concern,january 30 2020
What influenza virus was identified in China in 2013?,H7N9,5591.0,False,251.0,influenza virus identified china 2013,h7n9
"What past research has been done on severe, single-wave pandemics?","After a new influenza virus (H7N9) was identified in China in 2013, a series of modeling articles described the effect of, and level of preparedness for, a severe, single-wave pandemic in the United States.",5562.0,False,252.0,past research done severe single wave pandemics,new influenza virus h7n9 identified china 2013 series modeling articles described effect level preparedness severe single wave pandemic united states
What is a clinical attack rate?,the proportion of individuals who become ill with or die from a disease in a population initially uninfected,5816.0,False,253.0,clinical attack rate,proportion individuals become ill die disease population initially uninfected
What was the clinical attack rate in the 2009 H1N1 pandemic?,20%,5985.0,False,254.0,clinical attack rate 2009 h1n1 pandemic,20
What is the estimated R0 of COVID-19?,2.2,7158.0,False,255.0,estimated r0 covid 19,2 2
"How many ventilators have past studies projected will be required for a pandemic in the United States?
",35 000 to 60 000,6331.0,False,1657.0,many ventilators past studies projected required pandemic united states,35 000 60 000
How is exhaled breath condensate used in viral research?,the isolation of respiratory viruses,548.0,False,5193.0,exhaled breath condensate used viral research,isolation respiratory viruses
How many patients were i this study?,102,609.0,False,5194.0,many patients study,102
What was the conclusion of this study?,EBC collection using the RTube™ is not reliable for diagnosis of respiratory infections,1673.0,False,5195.0,conclusion study,ebc collection using rtube reliable diagnosis respiratory infections
How long did the patient breath into the RTube?,10 minutes,4107.0,False,5196.0,long patient breath rtube,10 minutes
What followed the reverse transcription step in the analysis?,denaturation step,9620.0,False,5197.0,followed reverse transcription step analysis,denaturation step
What was the last step in the analysis?,amplification step,9670.0,False,5198.0,last step analysis,amplification step
What percentage of the patients were between 20 and 30 years old in this study?,52%,9888.0,False,5199.0,percentage patients 20 30 years old study,52
Why is EBC an attractive method for screening?,easy to perform and can be conducted in a home environment,12629.0,False,5200.0,ebc attractive method screening,easy perform conducted home environment
What is the leading cause of death among children after the age of 1 month?,"Pneumonia remains the leading cause of death in children outside the neonatal period,",295.0,False,502.0,leading cause death among children age 1 month,pneumonia remains leading cause death children outside neonatal period
How has the number  of  childhood pneumonia been reduced?,"New conjugate vaccines against Haemophilus influenzae type b and Streptococcus pneumoniae have contributed to decreases in radiologic, clinical and complicated pneumonia cases",566.0,False,504.0,number childhood pneumonia reduced,new conjugate vaccines haemophilus influenzae type b streptococcus pneumoniae contributed decreases radiologic clinical complicated pneumonia cases
What percentage of childhood deaths are due to  pneumonia?," approximately 900,000 of the estimated 6.3 million child deaths in 2013 ",1438.0,False,507.0,percentage childhood deaths due pneumonia,approximately 900 000 estimated 6 3 million child deaths 2013
How has the childhood population grown in the last two  decades?,global childhood population from 605 million in 2000 to 664 million in 2015 ,2274.0,False,510.0,childhood population grown last two decades,global childhood population 605 million 2000 664 million 2015
What is the reduction in the number of childhood pneumonia cases?,"Recent data suggest that there has been a 25% decrease in the incidence of pneumonia, from 0.29 episodes per child year in low-and middle-income countries in 2000, to 0.22 episodes per child year in 2010 [3] . This is substantiated by a 58% decrease in pneumonia-associated disability-adjusted life years between 1990 and 2013, from 186 million to 78 million ",2356.0,False,511.0,reduction number childhood pneumonia cases,recent data suggest 25 decrease incidence pneumonia 0 29 episodes per child year low middle income countries 2000 0 22 episodes per child year 2010 3 substantiated 58 decrease pneumonia associated disability adjusted life years 1990 2013 186 million 78 million
How much  is the reduction in the childhood pneumonia deaths?,"Pneumonia deaths decreased from 1.8 million in 2000 to 900,000 in 2013",2772.0,False,512.0,much reduction childhood pneumonia deaths,pneumonia deaths decreased 1 8 million 2000 900 000 2013
Childhood pneumonia rate for  high income countries vs low and middle income countries.,"The incidence in high-income countries is estimated at 0.015 episodes per child year, compared to 0.22 episodes per child year in low-and middle-income countries [3] . On average, 1 in 66 children in high-income countries is affected by pneumonia per year, compared to 1 in 5 children in low-and middle-income countries.",3310.0,False,513.0,childhood pneumonia rate high income countries vs low middle income countries,incidence high income countries estimated 0 015 episodes per child year compared 0 22 episodes per child year low middle income countries 3 average 1 66 children high income countries affected pneumonia per year compared 1 5 children low middle income countries
What  percentage of childhood pneumonia deaths occur outside hospital in low and middle  income countries?,up to 81% of severe pneumonia deaths occur outside a hospital ,3756.0,False,514.0,percentage childhood pneumonia deaths occur outside hospital low middle income countries,81 severe pneumonia deaths occur outside hospital
Case Fatality Rates for Childhood Pneumonia in high income vs low and middle income countries.,the case fatality rate is estimated to be almost 10-fold higher in low-and middle-income countries as compared to high-income countries,3872.0,False,515.0,case fatality rates childhood pneumonia high income vs low middle income countries,case fatality rate estimated almost 10 fold higher low middle income countries compared high income countries
How can childhood pneumonia affect the subsequent health of a person?,Early life pneumonia can impair longterm lung health by decreasing lung function [6] . Severe or recurrent pneumonia can have a worse effect on lung function; increasing evidence suggests that chronic obstructive pulmonary disease might be related to early childhood pneumonia,4098.0,False,516.0,childhood pneumonia affect subsequent health person,early life pneumonia impair longterm lung health decreasing lung function 6 severe recurrent pneumonia worse effect lung function increasing evidence suggests chronic obstructive pulmonary disease might related early childhood pneumonia
What is the increase in the risk of respiratory disease after having childhood pneumonia.,The risk of developing at least one of the major sequelae was estimated as 6% after an ambulatory pneumonia event and 14% after an episode of hospitalized pneumonia.,4662.0,False,517.0,increase risk respiratory disease childhood pneumonia,risk developing least one major sequelae estimated 6 ambulatory pneumonia event 14 episode hospitalized pneumonia
Which is the best method to identify pneumonia in a person?,Chest radiologic changes have been considered the gold standard for defining a pneumonia event,5040.0,False,518.0,best method identify pneumonia person,chest radiologic changes considered gold standard defining pneumonia event
What is responsible for the reduction of radiologic pneumonia?,Widespread use of pneumococcal conjugate vaccination and Haemophilus influenzae type B conjugate vaccination has decreased the incidence of radiologic pneumonia.,6100.0,False,520.0,responsible reduction radiologic pneumonia,widespread use pneumococcal conjugate vaccination haemophilus influenzae type b conjugate vaccination decreased incidence radiologic pneumonia
What is the percentage reduction in pneumonia cases due to  vaccination?,"Haemophilus influenzae type B conjugate vaccination in high-burden communities, the vaccination was associated with an 18% decrease in radiologic pneumonia [13] . Introduction of pneumococcal conjugate vaccination was associated with a 26% decrease in radiologic pneumonia in California between 1995 and 1998 [14] . In vaccine efficacy trials in low-and middle-income countries, pneumococcal conjugate vaccination reduced radiologic pneumonia by 37% in the Gambia [15] , 25% in South Africa [16] and 26% in the Philippines ",6343.0,False,521.0,percentage reduction pneumonia cases due vaccination,haemophilus influenzae type b conjugate vaccination high burden communities vaccination associated 18 decrease radiologic pneumonia 13 introduction pneumococcal conjugate vaccination associated 26 decrease radiologic pneumonia california 1995 1998 14 vaccine efficacy trials low middle income countries pneumococcal conjugate vaccination reduced radiologic pneumonia 37 gambia 15 25 south africa 16 26 philippines
What is the revised WHO definition of Bacterial Pneumonia?," A revised case definition of ""presumed bacterial pneumonia"" has been introduced, and this definition includes pneumonia cases with WHO-defined alveolar consolidation, as well as those with other abnormal chest radiograph infiltrates and a serum C-reactive protein of at least 40 mg/L ",7735.0,False,522.0,revised definition bacterial pneumonia,revised case definition presumed bacterial pneumonia introduced definition includes pneumonia cases defined alveolar consolidation well abnormal chest radiograph infiltrates serum c reactive protein least 40 mg l
What is the reduction in bacterial pneumonia under the revised WHO  definition of bacterial pneumonia?," Using the revised definition, the 10-valent pneumococcal conjugate vaccine (pneumococcal conjugate vaccination-10), had a vaccine efficacy of 22% in preventing presumed bacterial pneumonia in young children in South America [22] , and pneumococcal conjugate vaccination-13 had a vaccine efficacy of 39% in preventing presumed bacterial pneumonia in children older than 16 weeks who were not infected with human immunodeficiency virus (HIV) in South Africa [21]",8257.0,False,524.0,reduction bacterial pneumonia revised definition bacterial pneumonia,using revised definition 10 valent pneumococcal conjugate vaccine pneumococcal conjugate vaccination 10 vaccine efficacy 22 preventing presumed bacterial pneumonia young children south america 22 pneumococcal conjugate vaccination 13 vaccine efficacy 39 preventing presumed bacterial pneumonia children older 16 weeks infected human immunodeficiency virus hiv south africa 21
What caused the increase in the  incidence of empyema in children in the recent past?," An increased incidence of empyema in children was noted in some high-income countries following pneumococcal conjugate vaccination-7 introduction, and this was attributed to pneumococcal serotypes not included in pneumococcal conjugate vaccination-7, especially 3 and 19A",9031.0,False,530.0,caused increase incidence empyema children recent past,increased incidence empyema children noted high income countries following pneumococcal conjugate vaccination 7 introduction attributed pneumococcal serotypes included pneumococcal conjugate vaccination 7 especially 3 19a
How have the incidence Empyema been reduced?,These trends have been reversed since the introduction of pneumococcal conjugate vaccination-13. Data from the United States suggest that empyema decreased by 50% in children younger than 5 years ,9813.0,False,532.0,incidence empyema reduced,trends reversed since introduction pneumococcal conjugate vaccination 13 data united states suggest empyema decreased 50 children younger 5 years
What pneumonia related or chest conditions indicate the need for child radiography?,"chest radiography should not be routinely performed in children with ambulatory pneumonia [31] [32] [33] . Indications for chest radiography include hospitalization, severe hypoxemia or respiratory distress, failed initial antibiotic therapy, or suspicion for other diseases (tuberculosis, inhaled foreign body) or complications. ",10334.0,False,533.0,pneumonia related chest conditions indicate need child radiography,chest radiography routinely performed children ambulatory pneumonia 31 32 33 indications chest radiography include hospitalization severe hypoxemia respiratory distress failed initial antibiotic therapy suspicion diseases tuberculosis inhaled foreign body complications
What chest diseases and pneumonia were identified as leading causes prior to  the availability of vaccines?,"prior to availability of new conjugate vaccines confirmed S. pneumoniae and H. influenzae type B as the most important bacterial causes of pneumonia, with Staphylococcus aureus and Klebsiella pneumoniae associated with some severe cases. Respiratory syncytial virus was the leading viral cause, identified in 15-40% of pneumonia cases, followed by influenza A and B, parainfluenza, human metapneumovirus and adenovirus",11677.0,False,534.0,chest diseases pneumonia identified leading causes prior availability vaccines,prior availability new conjugate vaccines confirmed pneumoniae h influenzae type b important bacterial causes pneumonia staphylococcus aureus klebsiella pneumoniae associated severe cases respiratory syncytial virus leading viral cause identified 15 40 pneumonia cases followed influenza b parainfluenza human metapneumovirus adenovirus
Why has pertussis immunity in infants has decreased in infants?,"Because pertussis immunity after acellular pertussis vaccination is less long-lasting than immunity after wild-type infection or whole-cell vaccination, many women of child-bearing age have waning pertussis antibody levels. ",13760.0,False,535.0,pertussis immunity infants decreased infants,pertussis immunity acellular pertussis vaccination less long lasting immunity wild type infection whole cell vaccination many women child bearing age waning pertussis antibody levels
What is the effect of childhood tuberculosis in childhood pneumonia?,"A recent systematic review of tuberculosis as a comorbidity of childhood pneumonia reported culture-confirmed disease in about 8% of cases [50] . Because intrathoracic tuberculosis disease is only culture-confirmed in a minority of cases, the true burden could be even higher; tuberculosis could therefore be an important contributor to childhood pneumonia incidence and mortality in high-prevalence areas",15402.0,False,536.0,effect childhood tuberculosis childhood pneumonia,recent systematic review tuberculosis comorbidity childhood pneumonia reported culture confirmed disease 8 cases 50 intrathoracic tuberculosis disease culture confirmed minority cases true burden could even higher tuberculosis could therefore important contributor childhood pneumonia incidence mortality high prevalence areas
What are the risk factors in childhood pneumonia?," incomplete or inadequate vaccination must be considered as a major preventable risk factor for childhood pneumonia. Other risk factors include low birth weight, which is associated with 3.2 times increased odds of severe pneumonia in low-and middle-income countries, and 1.8 times increased odds in high-income countries [51] . Similarly, lack of exclusive breastfeeding for the first 4 months of life increases odds of severe pneumonia by 2.7 times in low-and middle-income countries and 1.3 times in highincome countries. ",16115.0,False,537.0,risk factors childhood pneumonia,incomplete inadequate vaccination must considered major preventable risk factor childhood pneumonia risk factors include low birth weight associated 3 2 times increased odds severe pneumonia low middle income countries 1 8 times increased odds high income countries 51 similarly lack exclusive breastfeeding first 4 months life increases odds severe pneumonia 2 7 times low middle income countries 1 3 times highincome countries
How does air pollution affect the incidence of childhood pneumonia?, Indoor air pollution from use of solid or biomass fuels increases odds of pneumonia by 1.6 times; lack of measles vaccination by the end of the first year of age increases odds of pneumonia by 1.8 times ,16987.0,False,538.0,air pollution affect incidence childhood pneumonia,indoor air pollution use solid biomass fuels increases odds pneumonia 1 6 times lack measles vaccination end first year age increases odds pneumonia 1 8 times
What is the strongest risk factor for childhood pneumonia?,"The single strongest risk factor for pneumonia is HIV infection, which is especially prevalent in children in sub-Saharan Africa. HIV-infected children have 6 times increased odds of developing severe pneumonia or of death compared to HIV-uninfected children",17514.0,False,539.0,strongest risk factor childhood pneumonia,single strongest risk factor pneumonia hiv infection especially prevalent children sub saharan africa hiv infected children 6 times increased odds developing severe pneumonia death compared hiv uninfected children
